user_email,course_id,tipo_actividad,timestamp,activity_id,detalles,progress_percent,grade,device_info,teacher_name,teacher_email,teacher_avg
maria@iteso.mx,math_101,EVALUACION,2024-10-30T19:09:00Z,c64c8d87-93f0-45e8-b2eb-9b3e2d7c4279,Presentó evaluación final del curso math_101,87,6.3,Android Tablet,Raquel,raquel@iteso.mx,9.1
maria@iteso.mx,math_101,QUIZ,2024-10-22T17:48:00Z,4eb1d675-f634-41d7-abc0-be69b76f5f3e,Completó el quiz del curso math_101,79,8.0,Chromebook,Miguel,miguel@iteso.mx,9.5
maria@iteso.mx,math_101,VIDEO,2024-10-24T20:52:00Z,d101fa85-0f77-497d-a969-9e50d45b8a0a,Vio el video completo del curso math_101,93,6.3,iPad,Miguel,miguel@iteso.mx,9.3
maria@iteso.mx,math_101,TAREA,2024-10-21T13:03:00Z,6500a888-2030-4b41-8c95-89831591a4b6,Entregó tarea del curso math_101,94,8.4,Android Tablet,Miguel,miguel@iteso.mx,8.1
maria@iteso.mx,math_101,FORO,2024-11-02T03:39:00Z,826391fe-8b3f-4996-91e1-da649fd86633,Participó en foro del curso math_101,77,9.9,iPad,Raquel,raquel@iteso.mx,7.2
daniela@iteso.mx,math_101,PROYECTO,2024-10-14T16:58:00Z,c2ff1ff6-1162-443e-a92d-5546ef33f5ff,Subió proyecto final del curso math_101,62,8.1,Chromebook,Raquel,raquel@iteso.mx,7.0
daniela@iteso.mx,math_101,LECTURA,2024-10-20T09:34:00Z,9ca308cc-5f59-4c4b-8288-6936e76e3f9f,Leyó el material del curso math_101,85,7.1,Macbook,Miguel,miguel@iteso.mx,10.0
daniela@iteso.mx,math_101,QUIZ,2024-10-27T19:43:00Z,040b1fad-6dc1-45e1-b7c8-c60eb3b43444,Completó el quiz del curso math_101,80,6.9,iPad,Raquel,raquel@iteso.mx,7.4
daniela@iteso.mx,math_101,EVALUACION,2024-10-10T19:03:00Z,85460bf3-71fa-4903-964e-635cf5ff3178,Presentó evaluación final del curso math_101,91,9.6,iPad,Miguel,miguel@iteso.mx,7.8
daniela@iteso.mx,math_101,VIDEO,2024-11-05T23:28:00Z,71e48e8a-794f-4a9b-a59b-16496410ac44,Vio el video completo del curso math_101,77,7.1,Chromebook,Miguel,miguel@iteso.mx,9.3
luis@iteso.mx,math_101,LECTURA,2024-11-07T18:25:00Z,a57d7c21-1e65-4c32-99b2-dbfeeaab892f,Leyó el material del curso math_101,86,9.9,iPhone,Miguel,miguel@iteso.mx,7.9
luis@iteso.mx,math_101,QUIZ,2024-10-21T17:03:00Z,decba07e-f927-4961-9073-d6fb5efe4964,Completó el quiz del curso math_101,97,7.0,Android Tablet,Miguel,miguel@iteso.mx,8.1
luis@iteso.mx,math_101,PROYECTO,2024-10-21T07:27:00Z,d08749c2-1281-410a-9f6f-62a07ec32ad4,Subió proyecto final del curso math_101,67,6.6,iPad,Raquel,raquel@iteso.mx,7.4
luis@iteso.mx,math_101,FORO,2024-11-03T23:50:00Z,0bb20519-3fe9-4221-8411-0e986a881c33,Participó en foro del curso math_101,85,9.7,Android Tablet,Miguel,miguel@iteso.mx,8.3
luis@iteso.mx,math_101,EVALUACION,2024-10-18T03:29:00Z,3e0c2ffc-42f2-474f-a98c-2a6f78f48cdb,Presentó evaluación final del curso math_101,78,7.3,Windows Laptop,Miguel,miguel@iteso.mx,9.6
teresa@iteso.mx,math_101,EVALUACION,2024-10-18T03:35:00Z,37b6a2e0-d38a-4fe0-af0e-18e1d31ae5a2,Presentó evaluación final del curso math_101,73,9.0,Chromebook,Raquel,raquel@iteso.mx,7.1
teresa@iteso.mx,math_101,TAREA,2024-10-20T21:36:00Z,e589ac99-8cf0-4e95-9c8e-dc968fdb59d4,Entregó tarea del curso math_101,83,9.5,Android Tablet,Miguel,miguel@iteso.mx,9.8
teresa@iteso.mx,math_101,FORO,2024-11-01T07:09:00Z,807d3b0a-dce6-4e92-acba-fde4643201a0,Participó en foro del curso math_101,65,8.3,iPhone,Raquel,raquel@iteso.mx,7.4
teresa@iteso.mx,math_101,PROYECTO,2024-10-31T19:04:00Z,f70eae78-42c2-4904-83fc-547a4f9ec651,Subió proyecto final del curso math_101,98,8.2,Macbook,Miguel,miguel@iteso.mx,9.0
teresa@iteso.mx,math_101,LECTURA,2024-11-03T05:19:00Z,1575f237-75e9-4b4d-b12e-d4ee195c41b3,Leyó el material del curso math_101,84,7.8,Windows Laptop,Raquel,raquel@iteso.mx,9.6
sofia@iteso.mx,ethics_201,EVALUACION,2024-10-27T18:21:00Z,9fba27d6-b0e7-4540-a1f5-fd8195ee4f60,Presentó evaluación final del curso ethics_201,67,8.1,Macbook,Miguel,miguel@iteso.mx,8.3
sofia@iteso.mx,ethics_201,VIDEO,2024-11-02T20:20:00Z,eb17cebe-4ff7-49bb-aca8-a92083bbbf79,Vio el video completo del curso ethics_201,84,8.0,iPad,Miguel,miguel@iteso.mx,9.8
sofia@iteso.mx,ethics_201,LECTURA,2024-11-04T02:21:00Z,97c1b50a-1b52-4797-9728-009b8e361d3e,Leyó el material del curso ethics_201,67,9.1,Macbook,Miguel,miguel@iteso.mx,8.2
sofia@iteso.mx,ethics_201,TAREA,2024-10-25T20:37:00Z,77e3c0a7-0728-42e0-bd5a-8deae477250b,Entregó tarea del curso ethics_201,62,8.5,iPhone,Ana,ana@iteso.mx,7.9
